,Fecha,Hidráulica,Hidroeólica,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Residuos renovables
55,25/02/2020,77.156075,0.022306999999999997,213.978677,36.132527,6.850270999999999,12.107109000000001,2.3256265
56,26/02/2020,86.59832899999999,0.07737999999999999,242.230001,44.640043,13.66892,11.408192999999999,2.1623565
57,27/02/2020,75.49469400000001,0.028143,283.04323999999997,44.436688000000004,13.757252000000001,11.68897,2.076449
58,28/02/2020,90.562228,0.009185,170.31495800000002,40.529622,7.351363,11.923172000000001,2.2505855
59,29/02/2020,50.177192000000005,0.022306,332.63410600000003,25.423728,1.556346,11.729016,2.34307
60,01/03/2020,55.708392999999994,0.049655,358.412171,24.581606,0.7541530000000001,11.307887000000001,2.253101
61,02/03/2020,88.915025,0.06963899999999999,346.73247399999997,32.095402,1.722272,10.40832,2.0077915
62,03/03/2020,90.539999,0.051784,348.51372200000003,26.394785,1.827171,9.298765,2.006347
63,04/03/2020,99.901803,0.02578,296.276722,31.859286,6.015219,9.51033,2.0130935
64,05/03/2020,89.587042,0.09578700000000001,356.585844,29.433845,3.3972330000000004,10.397799000000001,2.3093715
65,06/03/2020,96.91769500000001,0.12440999999999999,361.496353,38.747489,11.705069,10.963749,2.3767785
66,07/03/2020,99.99586500000001,0.119942,212.42807399999998,42.705963000000004,13.53221,11.24917,2.2913065
67,08/03/2020,96.90237300000001,0.108852,176.55116,44.372212,14.214015,11.52788,2.2188335
68,09/03/2020,115.787193,0.058851999999999995,229.675954,43.69506,15.380181,11.123888999999998,2.2589360000000003
69,10/03/2020,127.37282499999999,0.022597000000000003,152.721226,45.021927000000005,18.029134,12.082457,2.264815
70,11/03/2020,130.960951,0.00188,75.975971,45.882529999999996,11.854876,10.965635,2.229325
71,12/03/2020,131.31583799999999,0.008984,91.86930000000001,41.103703,9.153630999999999,10.5197,2.2704115000000002
72,13/03/2020,112.82231,0.09608499999999999,154.610239,39.496802,8.696975,11.568121,2.2491019999999997
73,14/03/2020,111.531485,0.077848,61.367905,45.750814,12.349058999999999,12.408114,2.247199
74,15/03/2020,80.572796,0.060048000000000004,152.43405900000002,37.964086,7.4022380000000005,11.922758,2.2769325
75,16/03/2020,103.072642,0.09865399999999999,252.77515400000001,19.372128,5.068548,11.770947,2.1414839999999997
76,17/03/2020,103.090833,0.113493,226.409863,24.752620999999998,6.825916,12.310872,2.047246
77,18/03/2020,133.250717,0.11893300000000001,116.33044500000001,30.4567,2.993819,11.441486000000001,2.1076625
78,19/03/2020,123.018368,0.09051300000000001,119.208125,32.527464,2.96909,11.44867,2.153188
79,20/03/2020,118.417164,0.093741,133.334193,24.178021,0.878064,11.587811,2.269352
80,21/03/2020,107.91616099999999,0.08024200000000001,73.732528,23.381747,0.690411,10.866211999999999,2.447183
81,22/03/2020,100.837184,0.048301000000000004,48.688934,26.155386999999997,4.7862160000000005,10.322201999999999,2.34914
82,23/03/2020,108.696302,0.078765,122.413971,29.392245,6.630238,10.249692,1.575884
83,24/03/2020,103.131106,0.038886000000000004,134.707414,25.296789,2.820476,10.336079999999999,1.5410864999999998
84,25/03/2020,124.208863,0.022025,55.44372,37.794818,10.537047000000001,10.520374,1.6606569999999998
85,26/03/2020,82.568196,0.016186,196.71899299999998,48.568944,17.372778999999998,11.269317,1.6156365000000001
86,27/03/2020,103.648203,0.020201,110.43500900000001,33.95044,9.193487999999999,11.902477000000001,1.5491065000000002
87,28/03/2020,103.027671,0.024106000000000002,37.490199000000004,48.760304,13.312978999999999,12.453266,1.499032
88,29/03/2020,50.371233000000004,0.003767,153.591347,51.340133,14.354959999999998,11.205596,1.3811675
