,Fecha,Hidráulica,Eólica,Otras renovables,Residuos renovables,Solar
75,2020-03-16,103.072642,252.775154,11.770947,2.141484,24.440676
76,2020-03-17,103.090833,226.409863,12.310872,2.047246,31.578537
77,2020-03-18,133.250717,116.330445,11.441486,2.1076625,33.450519
78,2020-03-19,123.018368,119.208125,11.44867,2.153188,35.496554
79,2020-03-20,118.417164,133.334193,11.587811,2.269352,25.056085
80,2020-03-21,107.916161,73.732528,10.866212,2.447183,24.072158
81,2020-03-22,100.837184,48.688934,10.322202,2.34914,30.941603
82,2020-03-23,108.696302,122.413971,10.249692,1.575884,36.022483
83,2020-03-24,103.131106,134.707414,10.33608,1.5410864999999998,28.117265
84,2020-03-25,124.208863,55.44372,10.520374,1.6606569999999998,48.331865
85,2020-03-26,82.568196,196.718993,11.269317,1.6156365,65.941723
86,2020-03-27,103.648203,110.435009,11.902477,1.5491065000000002,43.143928
87,2020-03-28,103.027671,37.490199,12.453266,1.499032,62.073282999999996
88,2020-03-29,50.371233,153.591347,11.205596,1.3811675,65.695093
89,2020-03-30,57.349771,234.929098,11.945196,1.3709685,21.962082000000002
90,2020-03-31,62.625326,209.342042,11.411533,1.483872,21.673794
91,2020-04-01,88.548545,86.096515,11.421579,1.415567,37.709343
92,2020-04-02,76.169984,121.764942,12.199111,1.314759,45.440017000000005
93,2020-04-03,80.40746700000001,97.805107,12.268135,1.2483885,73.433903
94,2020-04-04,48.63784,188.95329500000005,11.33698,1.252934,52.145148999999996
95,2020-04-05,50.67242,188.727044,10.080382,1.1952455,51.053961
96,2020-04-06,80.473535,88.44111199999999,10.530745,1.2014855,30.832148
97,2020-04-07,83.029207,76.618084,11.004485,1.2659755,42.531847
98,2020-04-08,78.351371,66.72998600000001,11.14056,1.1379965,54.273474
99,2020-04-09,67.38083900000001,91.116817,11.744042,1.009752,28.689894
100,2020-04-10,65.035081,85.360437,11.236834,1.013505,35.091529
101,2020-04-11,69.584334,74.758509,11.491657,1.065919,43.360108000000004
102,2020-04-12,59.167791,105.120067,10.911991,1.269211,50.772534
103,2020-04-13,67.601495,75.169787,11.106045,1.277593,40.31105
104,2020-04-14,79.429507,99.032495,11.216339,1.2908545,42.853675
105,2020-04-15,76.980675,190.741951,10.802528,1.24362,31.249058
106,2020-04-16,81.091469,210.902326,10.639449,1.2124315,37.721399
107,2020-04-17,99.92647,160.81964499999998,10.372402,1.080914,33.007227
108,2020-04-18,108.539853,47.955286,10.95243,0.9927955,43.823771
109,2020-04-19,105.324705,75.030426,10.772362,0.9722315,46.111392
110,2020-04-20,106.318422,134.949331,10.226953,0.808631,40.272668
111,2020-04-21,120.211379,180.40452,10.454662,1.2032995000000002,34.118255000000005
112,2020-04-22,122.176715,135.228804,10.815863,1.091808,55.863699999999994
113,2020-04-23,150.029791,63.672276,11.934502,1.1152795000000002,57.198542
114,2020-04-24,146.491697,84.818772,12.093102,1.1436635000000002,57.09248
115,2020-04-25,135.543329,37.130968,12.311709,1.1946020000000002,34.630005
116,2020-04-26,132.55819699999998,58.182843,12.328994,1.192703,38.18351800000001
117,2020-04-27,146.605607,115.062989,12.132435,1.1936,38.196241
118,2020-04-28,134.375176,182.665941,12.042754,1.195565,53.392018
119,2020-04-29,110.96573,250.424744,10.632312,1.227725,75.43048999999999
120,2020-04-30,90.745981,321.082165,11.556451,1.2188175,50.660657
121,2020-05-01,73.20914200000001,269.98814,11.645923,1.307516,69.089835
122,2020-05-02,93.726338,153.43691099999998,11.431314,1.298222,86.331422
123,2020-05-03,87.496447,64.515795,11.331435,1.2148415,86.770705
124,2020-05-04,81.710026,224.363036,10.606073,1.149181,68.36908500000001
125,2020-05-05,126.322484,109.457631,12.033416,1.196212,71.309145
126,2020-05-06,132.321032,52.368621,12.459136,1.2599395,80.21686600000001
127,2020-05-07,117.851691,155.544756,12.521106,1.2628265,55.808865999999995
128,2020-05-08,108.69278,116.741638,12.56966,0.9498565,77.887783
129,2020-05-09,95.552021,108.662944,12.259125,0.920769,48.78250700000001
130,2020-05-10,84.863512,152.268429,12.071885,1.2324755,44.313095999999994
131,2020-05-11,94.381696,185.886363,11.634539,1.3019745,47.24577800000001
132,2020-05-12,140.041483,62.050099,12.133222,1.3206745,25.650453000000002
133,2020-05-13,134.167973,68.485356,12.18581,1.3403545,46.450582999999995
134,2020-05-14,105.041032,149.603793,12.514421,1.2919955,26.433035
135,2020-05-15,103.657594,180.638795,12.187459,1.3379375,39.277063000000005
136,2020-05-16,90.886172,192.93466,11.893674,1.3046165,50.303865
137,2020-05-17,81.866827,113.556405,11.891449,1.107342,69.84469999999999
138,2020-05-18,90.726055,102.339908,13.041052,1.089873,91.757631
139,2020-05-19,79.951037,105.471648,13.948293,1.175115,93.44973999999999
140,2020-05-20,80.184821,53.044085,13.836014,1.161327,92.909223
141,2020-05-21,91.183296,52.270411,13.65632,1.042324,90.844846
142,2020-05-22,102.477359,52.115389,13.934243,0.9451335,91.486786
143,2020-05-23,67.321969,156.428713,13.632227,1.02196,88.534967
144,2020-05-24,64.920638,164.245851,12.518606,1.232968,86.318928
145,2020-05-25,71.125818,156.355239,13.384703,1.1319415,72.034251
146,2020-05-26,62.89119,205.516739,13.938037,0.931782,81.83069800000001
147,2020-05-27,68.696804,172.557804,14.068853,1.2341825,86.82768
148,2020-05-28,79.98509200000001,119.241901,14.089248,1.2397965,88.299477
149,2020-05-29,99.311816,73.825349,12.060167,1.238964,91.41716699999999
150,2020-05-30,77.83944,98.129232,10.989808,1.263212,85.884441
151,2020-05-31,71.856485,92.636678,10.822659,1.1456205,53.567413
152,2020-06-01,104.347586,46.94793,9.958895,1.089749,66.560577
153,2020-06-02,110.182691,42.483484,10.003172,1.3197255,67.746564
154,2020-06-03,90.673531,86.534613,11.382073,1.3463135,77.876881
155,2020-06-04,84.25501399999999,202.420754,12.390446,1.6625195,47.959055000000006
156,2020-06-05,84.647684,111.209698,12.705187,1.6948275000000002,87.030218
157,2020-06-06,66.94717200000001,92.723539,12.714189,1.662382,87.440735
158,2020-06-07,61.66759,193.729823,12.897778,1.5836225,66.13903
159,2020-06-08,63.52295,176.72667,12.901819,1.6241445,77.73782
160,2020-06-09,73.474734,138.168891,12.567657,1.3650909999999998,85.714904
161,2020-06-10,77.728275,87.730212,13.441921,1.1718810000000002,84.165673
162,2020-06-11,61.803296,209.19226,13.138283,1.2211655,74.565807
163,2020-06-12,68.455699,255.372536,13.405403,1.3803985,61.692282000000006
164,2020-06-13,63.364306,169.81074299999997,14.201049,1.6081645,81.748594
165,2020-06-14,59.629314,81.071565,13.287677,1.5989325,90.57598200000001
166,2020-06-15,72.44984600000001,83.71039200000001,12.750176,1.5210995,93.98687100000001
167,2020-06-16,74.560412,114.225379,13.371103,1.5573979999999998,77.624364
168,2020-06-17,82.445566,65.007894,13.402415,1.5535535,90.064378
169,2020-06-18,75.68849800000001,49.161566,13.569788,1.5733965,94.186928
170,2020-06-19,73.502581,62.153403,13.656357,1.5080445,93.21088499999999
171,2020-06-20,56.689605,63.65518,13.129758,1.561219,98.084391
172,2020-06-21,51.264222,99.134236,12.62416,1.494089,98.97957500000001
173,2020-06-22,70.023171,134.034201,11.59934,1.361643,98.191979
174,2020-06-23,87.63235499999999,107.379423,10.980719,1.2183105,91.30839200000001
175,2020-06-24,73.74471799999999,94.573799,11.018946,1.444799,72.83718300000001
176,2020-06-25,84.39116499999999,89.20808,11.334069,1.4142315,86.680978
177,2020-06-26,84.370303,120.228069,13.373068,1.432264,82.535721
178,2020-06-27,69.425274,98.675727,14.606723,1.224453,92.76146800000001
179,2020-06-28,65.40991,70.17626200000001,13.988762,1.053414,95.66204099999999
180,2020-06-29,80.600645,98.626494,13.376831,1.0596690000000002,95.59706399999999
181,2020-06-30,93.524645,99.904204,12.23023,1.0070535,90.677801
182,2020-07-01,89.48649499999999,95.440019,13.377259,1.2979215,94.85410999999999
183,2020-07-02,74.49601799999999,127.561809,13.42015,1.32878,96.940107
184,2020-07-03,51.459579,140.908031,13.094641,1.1646965,96.56600700000001
185,2020-07-04,45.789129,106.023913,12.462092,1.0039465,98.63863599999999
186,2020-07-05,45.433138,120.667839,11.63286,1.3064615,97.268044
187,2020-07-06,55.162235,207.13444,11.092399,1.376626,94.95449099999999
188,2020-07-07,62.477379,131.94201800000002,11.656606,1.4153015,88.85478800000001
189,2020-07-08,62.36301,157.183919,11.985332,1.3531685,65.847239
190,2020-07-09,57.596744,104.431615,10.965354,1.323702,82.836637
191,2020-07-10,51.673861,137.23356,11.91176,1.3397355,91.110088
192,2020-07-11,48.389354,222.362485,10.909541,1.3517355,88.666519
193,2020-07-12,39.57411,177.679113,10.738628,1.422362,71.919183
194,2020-07-13,53.600821,192.444881,9.786344,1.1946225,88.71067
195,2020-07-14,52.737757,201.168347,10.776405,1.0813525,76.91704999999999
196,2020-07-15,51.933483,226.237583,10.211316,1.1283610000000002,88.893881
197,2020-07-16,52.532964,194.790444,9.719756,1.154684,92.64904100000001
198,2020-07-17,54.668216,208.318751,10.280381,1.1115935,91.829885
199,2020-07-18,49.854035,89.952332,10.596731,1.3857000000000002,93.484646
200,2020-07-19,42.86594,82.10802199999999,10.128651,1.423976,89.78222
201,2020-07-20,57.393128,142.598166,10.524639,1.3451165,83.877939
202,2020-07-21,49.645007,173.805277,10.865679,1.3797715000000002,60.649907
203,2020-07-22,59.409995,86.0264,10.525423,1.327717,79.91848
204,2020-07-23,63.056385,73.23891,10.933285,1.349838,90.06861
205,2020-07-24,59.804024,115.090627,11.002471,1.348172,90.05914200000001
206,2020-07-25,51.60185,80.167468,11.648415000000002,1.183433,93.145747
207,2020-07-26,50.107416,71.972591,11.616743,1.5339105,92.429922
208,2020-07-27,73.27332399999999,108.497412,11.553336,1.65686,86.064314
209,2020-07-28,76.274469,141.49093,11.477636,1.4092215,87.811174
210,2020-07-29,80.24749700000001,129.64146300000002,11.712381,1.914989,89.3364
211,2020-07-30,77.743088,143.042875,11.305196,2.2750120000000003,77.783659
212,2020-07-31,97.384577,60.39288,11.648291,2.245893,77.514333
213,2020-08-01,61.987314,133.77781,11.81505,2.566014,75.16312500000001
214,2020-08-02,53.027777,185.087601,10.510915,2.5032555000000003,86.56689800000001
215,2020-08-03,67.069269,154.925408,10.810631,2.5762035,81.80210699999999
216,2020-08-04,61.829668,128.483316,11.171245,2.6031425,85.263777
217,2020-08-05,70.330238,66.258746,11.131293,2.5765385000000003,89.948622
218,2020-08-06,69.133207,106.47334,11.906352,2.591488,88.312483
219,2020-08-07,68.807151,107.648814,11.837758,2.652323,84.36585600000001
220,2020-08-08,50.318086,97.392382,11.815491,2.614229,68.97618399999999
