,Date,Close
729,2020-01-01,0.92
730,2020-01-02,0.93
731,2020-01-03,0.91
732,2020-01-04,0.91
733,2020-01-05,0.91
734,2020-01-06,0.9
735,2020-01-07,0.89
736,2020-01-08,0.91
737,2020-01-09,0.9
738,2020-01-10,0.9
739,2020-01-11,0.9
740,2020-01-12,0.9
741,2020-01-13,0.9
742,2020-01-14,0.89
743,2020-01-15,0.88
744,2020-01-16,0.89
745,2020-01-17,0.87
746,2020-01-18,0.87
747,2020-01-19,0.87
748,2020-01-20,0.87
749,2020-01-21,0.85
750,2020-01-22,0.84
751,2020-01-23,0.83
752,2020-01-24,0.83
753,2020-01-25,0.83
754,2020-01-26,0.83
755,2020-01-27,0.82
756,2020-01-28,0.78
757,2020-01-29,0.8
758,2020-01-30,0.81
759,2020-01-31,0.83
760,2020-02-01,0.83
761,2020-02-02,0.83
762,2020-02-03,0.89
763,2020-02-04,0.87
764,2020-02-05,0.86
765,2020-02-06,0.85
766,2020-02-07,0.87
767,2020-02-08,0.87
768,2020-02-09,0.87
769,2020-02-10,0.85
770,2020-02-11,0.87
771,2020-02-12,0.92
772,2020-02-13,0.94
773,2020-02-14,0.89
774,2020-02-15,0.89
775,2020-02-16,0.89
776,2020-02-17,0.89
777,2020-02-18,0.87
778,2020-02-19,0.87
779,2020-02-20,0.87
780,2020-02-21,0.84
781,2020-02-22,0.84
782,2020-02-23,0.84
783,2020-02-24,0.78
784,2020-02-25,0.73
785,2020-02-26,0.72
786,2020-02-27,0.68
787,2020-02-28,0.6
788,2020-02-29,0.6
789,2020-03-01,0.6
790,2020-03-02,0.62
791,2020-03-03,0.64
792,2020-03-04,0.72
793,2020-03-05,0.67
794,2020-03-06,0.6
795,2020-03-07,0.6
796,2020-03-08,0.6
797,2020-03-09,0.54
798,2020-03-10,0.58
799,2020-03-11,0.51
800,2020-03-12,0.38
801,2020-03-13,0.52
802,2020-03-14,0.52
803,2020-03-15,0.52
804,2020-03-16,0.46
805,2020-03-17,0.6
806,2020-03-18,0.48
807,2020-03-19,0.57
808,2020-03-20,0.57
809,2020-03-21,0.57
810,2020-03-22,0.57
811,2020-03-23,0.49
812,2020-03-24,0.57
813,2020-03-25,0.58
814,2020-03-26,0.57
815,2020-03-27,0.51
816,2020-03-28,0.51
817,2020-03-29,0.51
818,2020-03-30,0.53
819,2020-03-31,0.56
820,2020-04-01,0.57
821,2020-04-02,0.56
822,2020-04-03,0.55
823,2020-04-04,0.55
824,2020-04-05,0.55
825,2020-04-06,0.59
826,2020-04-07,0.64
827,2020-04-08,0.65
828,2020-04-09,0.66
829,2020-04-10,0.66
830,2020-04-11,0.66
831,2020-04-12,0.66
832,2020-04-13,0.66
833,2020-04-14,0.79
834,2020-04-15,0.78
835,2020-04-16,0.77
836,2020-04-17,0.83
837,2020-04-18,0.83
838,2020-04-19,0.83
839,2020-04-20,0.94
840,2020-04-21,0.87
841,2020-04-22,0.98
842,2020-04-23,1.08
843,2020-04-24,1.11
844,2020-04-25,1.11
845,2020-04-26,1.11
846,2020-04-27,1.1
847,2020-04-28,1.11
848,2020-04-29,1.18
849,2020-04-30,1.1
850,2020-05-01,1.14
851,2020-05-02,1.14
852,2020-05-03,1.14
853,2020-05-04,1.12
854,2020-05-05,1.13
855,2020-05-06,1.1
856,2020-05-07,1.14
857,2020-05-08,1.23
858,2020-05-09,1.23
859,2020-05-10,1.23
860,2020-05-11,1.2
861,2020-05-12,1.1
862,2020-05-13,1.03
863,2020-05-14,1.03
864,2020-05-15,1.04
865,2020-05-16,1.04
866,2020-05-17,1.04
867,2020-05-18,1.09
868,2020-05-19,1.1
869,2020-05-20,1.13
870,2020-05-21,1.1
871,2020-05-22,1.1
872,2020-05-23,1.1
873,2020-05-24,1.1
874,2020-05-25,1.1
875,2020-05-26,1.06
876,2020-05-27,1.07
877,2020-05-28,1.04
878,2020-05-29,1.05
879,2020-05-30,1.05
880,2020-05-31,1.05
881,2020-06-01,1.02
882,2020-06-02,1.02
883,2020-06-03,1.0
884,2020-06-04,1.02
885,2020-06-05,1.05
886,2020-06-06,1.05
887,2020-06-07,1.05
888,2020-06-08,1.04
889,2020-06-09,1.05
890,2020-06-10,1.02
891,2020-06-11,0.98
892,2020-06-12,1.0
893,2020-06-13,1.0
894,2020-06-14,1.0
895,2020-06-15,0.99
896,2020-06-16,1.0
897,2020-06-17,0.98
898,2020-06-18,0.96
899,2020-06-19,0.94
900,2020-06-20,0.94
901,2020-06-21,0.94
902,2020-06-22,0.99
903,2020-06-23,0.96
904,2020-06-24,0.91
905,2020-06-25,0.92
906,2020-06-26,0.86
907,2020-06-27,0.86
908,2020-06-28,0.86
909,2020-06-29,0.9
910,2020-06-30,0.88
911,2020-07-01,0.9
912,2020-07-02,0.88
913,2020-07-03,0.88
914,2020-07-04,0.88
915,2020-07-05,0.88
916,2020-07-06,0.92
917,2020-07-07,0.91
918,2020-07-08,0.94
919,2020-07-09,0.88
920,2020-07-10,0.9
921,2020-07-11,0.9
922,2020-07-12,0.9
923,2020-07-13,0.88
924,2020-07-14,0.9
925,2020-07-15,0.91
926,2020-07-16,0.95
927,2020-07-17,0.99
928,2020-07-18,0.99
929,2020-07-19,0.99
930,2020-07-20,1.04
931,2020-07-21,1.02
932,2020-07-22,1.03
933,2020-07-23,1.01
934,2020-07-24,1.01
935,2020-07-25,1.01
936,2020-07-26,1.01
937,2020-07-27,1.09
938,2020-07-28,1.03
939,2020-07-29,0.99
940,2020-07-30,1.01
941,2020-07-31,0.97
942,2020-08-01,0.97
943,2020-08-02,0.97
944,2020-08-03,1.02
